id;author;booktitle;cdrom;cite;cite-label;crossref;editor;ee;i;journal;key;mdate;month;note;number;pages;publisher;publtype;rating;reviewid;sub;sup;title;title-bibtex;tt;url;volume;year
2857518;Mike Carson;;;;;;;http://dx.doi.org/10.1007/BF00124497;;Journal of Computer-Aided Molecular Design;journals/jcamd/Carson96;2011-05-24;;;4;273-283;;;;;;;Wavelets and molecular structure.;;;db/journals/jcamd/jcamd10.html#Carson96;10;1996
2857519;Hyunmyung Kim|Karpjoo Jeong|Sangsan Lee|Seunho Jung;;;;;;;http://dx.doi.org/10.1023/A:1021923815450;;Journal of Computer-Aided Molecular Design;journals/jcamd/KimJLJ02;2011-05-24;;;8-9;601-610;;;;;;;Molecular dynamics simulation of cyclosophoroheptadecaose (Cys-A).;;;db/journals/jcamd/jcamd16.html#KimJLJ02;16;2002
2857520;Rodger F. Henry;;;;;;;http://dx.doi.org/10.1007/s10822-010-9351-7;;Journal of Computer-Aided Molecular Design;journals/jcamd/Henry10;2010-09-29;;;6-7;587-590;;;;;;;The effects of tautomerism on the nature of molecules in the solid state.;;;db/journals/jcamd/jcamd24.html#Henry10;24;2010
2857521;Hans-Joachim Böhm;;;;;;;http://dx.doi.org/10.1023/A:1007999920146;;Journal of Computer-Aided Molecular Design;journals/jcamd/Bohm98;2011-05-24;;;4;309-323;;;;;;;Prediction of binding constants of protein ligands: A fast method for the prioritization of hits obtained from de novo design or 3D database search programs.;;;db/journals/jcamd/jcamd12.html#Bohm98;12;1998
2857522;Mark D. Paulsen|Rick L. Ornstein;;;;;;;http://dx.doi.org/10.1007/BF00125374;;Journal of Computer-Aided Molecular Design;journals/jcamd/PaulsenO94;2011-05-24;;;4;389-404;;;;;;;Active-site mobility inhibits reductive dehalogenation of 1, 1, 1-trichloroethane by cytochrome P450cam.;;;db/journals/jcamd/jcamd8.html#PaulsenO94;8;1994
2857523;Sandhya Kortagere|William J. Welsh;;;;;;;http://dx.doi.org/10.1007/s10822-006-9077-8;;Journal of Computer-Aided Molecular Design;journals/jcamd/KortagereW06;2014-02-16;;;12;789-802;;;;;;;Development and application of hybrid structure based method for efficient screening of ligands binding to G-protein coupled receptors.;;;db/journals/jcamd/jcamd20.html#KortagereW06;20;2006
2857524;Bartolomé Vilanova|Francisco Muñoz|Josefa Donoso|Juan Frau|Miguel Coll;;;;;;;http://dx.doi.org/10.1023/A:1013123702720;;Journal of Computer-Aided Molecular Design;journals/jcamd/CollFVDM01;2011-05-24;;;9;819-833;;;;;;;Electrostatic and structural similarity of classical and non-classical lactam compounds.;;;db/journals/jcamd/jcamd15.html#CollFVDM01;15;2001
2857525;Chin Yee Liew|Chun Wei Yap|Yen Ching Lim;;;;;;;http://dx.doi.org/10.1007/s10822-011-9468-3;;Journal of Computer-Aided Molecular Design;journals/jcamd/LiewLY11;2011-10-31;;;9;855-871;;;;;;;Mixed learning algorithms and features ensemble in hepatotoxicity prediction.;;;db/journals/jcamd/jcamd25.html#LiewLY11;25;2011
2857526;Garland R. Marshall;;;;;;;http://dx.doi.org/10.1007/s10822-013-9634-x;;Journal of Computer-Aided Molecular Design;journals/jcamd/Marshall13;2013-03-06;;;2;107-114;;;;;;;Limiting assumptions in molecular modeling: electrostatics.;;;db/journals/jcamd/jcamd27.html#Marshall13;27;2013
2857527;Nikita Chopra|Rakesh Bhatnagar|Shashikala Verma|Shivangi Agarwal|Sonika Bhatnagar;;;;;;;http://dx.doi.org/10.1007/s10822-011-9419-z;B. anthracis;Journal of Computer-Aided Molecular Design;journals/jcamd/ChopraAVBB11;2011-05-04;;;3;275-291;;;;;;;Modeling of the structure and interactions of the ;;;db/journals/jcamd/jcamd25.html#ChopraAVBB11;25;2011
2857528;Dong Wook Kang|HyungChul Ryu|Jeewoo Lee|Jin Hee Lee|Jozsef Lazar|Larry V. Pearce|Peter M. Blumberg|Sun Choi|Vladimir A. Pavlyukovets|Yoonji Lee;;;;;;;http://dx.doi.org/10.1007/s10822-011-9421-5;;Journal of Computer-Aided Molecular Design;journals/jcamd/LeeLRKLLPPBC11;2011-06-07;;;4;317-327;;;;;;;Structural insights into transient receptor potential vanilloid type 1 (TRPV1) from homology modeling, flexible docking, and mutational studies.;;;db/journals/jcamd/jcamd25.html#LeeLRKLLPPBC11;25;2011
2857529;Abhay T. Sangamwar|Abhijeet Patil|Arvind K. Bansal|Kailas S. Khomane|Pravin Bagul|Rameshwar Prajapati|Udghosh Singh;;;;;;;http://dx.doi.org/10.1007/s10822-013-9650-x;;Journal of Computer-Aided Molecular Design;journals/jcamd/PrajapatiSPKBBS13;2013-05-21;;;4;347-363;;;;;;;In silico model for P-glycoprotein substrate prediction: insights from molecular dynamics and in vitro studies.;;;db/journals/jcamd/jcamd27.html#PrajapatiSPKBBS13;27;2013
2857530;Maria Grishina|Vladimir Potemkin;;;;;;;http://dx.doi.org/10.1007/s10822-008-9203-x;;Journal of Computer-Aided Molecular Design;journals/jcamd/PotemkinG08;2014-02-12;;;6-7;489-505;;;;;;;A new paradigm for pattern recognition of drugs.;;;db/journals/jcamd/jcamd22.html#PotemkinG08;22;2008
2857531;Birgit Schlegel|Christian Laggner|David Schnell|Hans-Dieter Höltje|Holger Stark|René Meier|Roland Seifert|Thierry Langer|Wolfgang Sippl;;;;;;;http://dx.doi.org/10.1007/s10822-007-9127-x;;Journal of Computer-Aided Molecular Design;journals/jcamd/SchlegelLMLSSSHS07;2014-02-16;;;8;437-453;;;;;3;;Generation of a homology model of the human histamine H;;;db/journals/jcamd/jcamd21.html#SchlegelLMLSSSHS07;21;2007
2857532;Afshin Fassihi|Bahram Hemmateenejad|Lotfollah Saghaie|Maryam Gholami|Ramin Miri|Razieh Sabet;;;;;;;http://dx.doi.org/10.1007/s10822-012-9561-2;;Journal of Computer-Aided Molecular Design;journals/jcamd/SabetFHSMG12;2014-02-11;;;3;349-361;;;;;;;Computer-aided design of novel antibacterial 3-hydroxypyridine-4-ones: application of QSAR methods based on the MOLMAP approach.;;;db/journals/jcamd/jcamd26.html#SabetFHSMG12;26;2012
2857533;Fredrick Robin Devadoss Victor Paul Raj|Matthias Keil|Oliver Korb|Thomas E. Exner|Tim ten Brink;;;;;;;http://dx.doi.org/10.1007/s10822-011-9539-5;;Journal of Computer-Aided Molecular Design;journals/jcamd/KorbBRKE12;2012-03-25;;;2;185-197;;;;;;;Are predefined decoy sets of ligand poses able to quantify scoring function accuracy?;;;db/journals/jcamd/jcamd26.html#KorbBRKE12;26;2012
2857534;Eduardo J. Delgado|Ernesto Estrada|Gerardo Díaz;;;;;;;http://dx.doi.org/10.1007/s10822-006-9079-6;;Journal of Computer-Aided Molecular Design;journals/jcamd/EstradaDD06;2014-02-16;;;9;539-548;;;;;;;Predicting infinite dilution activity coefficients of organic compounds in water by quantum-connectivity descriptors.;;;db/journals/jcamd/jcamd20.html#EstradaDD06;20;2006
2857535;Alan R. Katritzky|Bahaa El-Dien M. El-Gendy|Bogdan Draghici|C. Dennis Hall;;;;;;;http://dx.doi.org/10.1007/s10822-010-9359-z;;Journal of Computer-Aided Molecular Design;journals/jcamd/KatritzkyHED10;2010-09-29;;;6-7;475-484;;;;;;;Tautomerism in drug discovery.;;;db/journals/jcamd/jcamd24.html#KatritzkyHED10;24;2010
2857536;Edward Borowski|F. Aylin Sungur|Haluk Resat|Maciej Baginski|Viktorya Aviyente;;;;;;;http://dx.doi.org/10.1023/A:1008144208706;;Journal of Computer-Aided Molecular Design;journals/jcamd/ResatSBBA00;2011-05-24;;;7;689-703;;;;;;;Conformational properties of amphotericin B amide derivatives - impact on selective toxicity.;;;db/journals/jcamd/jcamd14.html#ResatSBBA00;14;2000
2857537;Peter W. Kenny;;;;;;;http://dx.doi.org/10.1007/s10822-011-9515-0;;Journal of Computer-Aided Molecular Design;journals/jcamd/Kenny12;2012-01-31;;;1;69-72;;;;;;;Computation, experiment and molecular design.;;;db/journals/jcamd/jcamd26.html#Kenny12;26;2012
2857538;M. Luisa Sá e Melo|Marco A. C. Neves|Sérgio Simões;;;;;;;http://dx.doi.org/10.1007/s10822-010-9393-x;;Journal of Computer-Aided Molecular Design;journals/jcamd/NevesSM10;2010-11-25;;;12;1023-1033;;;;;;;Ligand-guided optimization of CXCR4 homology models for virtual screening using a multiple chemotype approach.;;;db/journals/jcamd/jcamd24.html#NevesSM10;24;2010
2857539;J. Peter Guthrie|Matthew T. Geballe;;;;;;;http://dx.doi.org/10.1007/s10822-012-9568-8;;Journal of Computer-Aided Molecular Design;journals/jcamd/GeballeG12;2012-07-05;;;5;489-496;;;;;;;The SAMPL3 blind prediction challenge: transfer energy overview.;;;db/journals/jcamd/jcamd26.html#GeballeG12;26;2012
2857540;Yvonne C. Martin;;;;;;;http://dx.doi.org/10.1007/s10822-009-9303-2;;Journal of Computer-Aided Molecular Design;journals/jcamd/Martin09;2010-03-22;;;10;693-704;;;;;;;Let's not forget tautomers.;;;db/journals/jcamd/jcamd23.html#Martin09;23;2009
2857541;François Tron|Frédéric Brard|Guy Perez|Gérard Coquerel|Samuel Petit;;;;;;;http://dx.doi.org/10.1023/A:1007937823079;;Journal of Computer-Aided Molecular Design;journals/jcamd/PetitBCPT98;2011-05-24;;;2;147-163;;;;;;;Structural models of antibody variable fragments: A method for investigating binding mechanisms.;;;db/journals/jcamd/jcamd12.html#PetitBCPT98;12;1998
2857542;Terry R. Stouch;;;;;;;http://dx.doi.org/10.1007/s10822-012-9545-2;;Journal of Computer-Aided Molecular Design;journals/jcamd/Stouch12;2012-01-31;;;1;1;;;;;;;Looking forward into the next 25 years: the 25th anniversary issue of the Journal of Computer-Aided Molecular Design.;;;db/journals/jcamd/jcamd26.html#Stouch12;26;2012
2857543;Robert C. Glen;;;;;;;http://dx.doi.org/10.1007/BF00125380;;Journal of Computer-Aided Molecular Design;journals/jcamd/Glen94;2011-05-24;;;4;457-466;;;;;;;A fast empirical method for the calculation of molecular polarizability.;;;db/journals/jcamd/jcamd8.html#Glen94;8;1994
2857544;Haiyan Peng|Herbert R. Treutlein|Jun Zeng|Li Zhang|Wenshuai Zhang|Xiaoyan Zeng|Yongjun Jiao;;;;;;;http://dx.doi.org/10.1007/s10822-013-9661-7;;Journal of Computer-Aided Molecular Design;journals/jcamd/ZhangZZPJZT13;2013-07-24;;;6;539-550;;;;;;;Computational identification of epitopes in the glycoproteins of novel bunyavirus (SFTS virus) recognized by a human monoclonal antibody (MAb 4-5).;;;db/journals/jcamd/jcamd27.html#ZhangZZPJZT13;27;2013
2857545;Bo Tao Fan|Feng Luan|Haixia Zhang|Mancang Liu|Ruisheng Zhang|Xiaoyun Zhang|Zhide Hu;;;;;;;http://dx.doi.org/10.1007/s10822-005-9031-1;;Journal of Computer-Aided Molecular Design;journals/jcamd/LuanZZZLHF06;2014-02-18;;;1;1-11;;;;;;;Prediction of standard Gibbs energies of the transfer of peptide anions from aqueous solution to nitrobenzene based on support vector machine and the heuristic method.;;;db/journals/jcamd/jcamd20.html#LuanZZZLHF06;20;2006
2857546;Hugo O. Villar|Ryan T. Koehler;;;;;;;http://dx.doi.org/10.1023/A:1008136613726;;Journal of Computer-Aided Molecular Design;journals/jcamd/KoehlerV00;2011-05-24;;;1;23-37;;;;;;;Statistical relationships among docking scores for different protein binding sites.;;;db/journals/jcamd/jcamd14.html#KoehlerV00;14;2000
2857547;Gerhard Bringmann|Holger Busse|Stefan Güssregen;;;;;;;http://dx.doi.org/10.1007/BF00130400;;Journal of Computer-Aided Molecular Design;journals/jcamd/BringmannGB92;2011-05-24;;;5;505-512;;;;;;;'ValleyScan': A new two-bond drive technique for the calculation of potential energy surfaces with less computational effort.;;;db/journals/jcamd/jcamd6.html#BringmannGB92;6;1992
2857548;David K. Chalmers|Jamie S. Simpson|Natalie B. Vinh|Peter J. Scammells;;;;;;;http://dx.doi.org/10.1007/s10822-012-9569-7;;Journal of Computer-Aided Molecular Design;journals/jcamd/VinhSSC12;2012-05-09;;;4;409-423;;;;;;;Virtual screening using a conformationally flexible target protein: models for ligand binding to p38α MAPK.;;;db/journals/jcamd/jcamd26.html#VinhSSC12;26;2012
2857549;Beining Chen|David J. Wood|George Papadatos|Nikolaus Stiefl|Paulette A. Greenidge|Peter Willett 0002|Robert F. Harrison|Xiao Qing Lewell;;;;;;;http://dx.doi.org/10.1007/s10822-006-9096-5;;Journal of Computer-Aided Molecular Design;journals/jcamd/ChenHP0WLGS07;2014-02-16;;;1-3;53-62;;;;;;;Evaluation of machine-learning methods for ligand-based virtual screening.;;;db/journals/jcamd/jcamd21.html#ChenHP0WLGS07;21;2007
2857550;Ashwin Srinivasan|Luc Dehaspe|Ross D. King;;;;;;;http://dx.doi.org/10.1023/A:1008171016861;;Journal of Computer-Aided Molecular Design;journals/jcamd/KingSD01;2011-05-24;;;2;173-181;;;;;;;Warmr: a data mining tool for chemical data.;;;db/journals/jcamd/jcamd15.html#KingSD01;15;2001
2857551;Donald J. Abraham|Glen Eugene Kellogg;;;;;;;http://dx.doi.org/10.1007/BF00124348;;Journal of Computer-Aided Molecular Design;journals/jcamd/AbrahamK94;2011-05-24;;;1;41-49;;;;;;;The effect of physical organic properties on hydrophobic fields.;;;db/journals/jcamd/jcamd8.html#AbrahamK94;8;1994
2857552;A. W. R. Payne|Robert C. Glen;;;;;;;http://dx.doi.org/10.1007/BF00124408;;Journal of Computer-Aided Molecular Design;journals/jcamd/GlenP95;2011-05-24;;;2;181-202;;;;;;;A genetic algorithm for the automated generation of molecules within constraints.;;;db/journals/jcamd/jcamd9.html#GlenP95;9;1995
2857553;Ernest V. Curto|Hunter N. B. Moseley|N. Rama Krishna;;;;;;;http://dx.doi.org/10.1007/BF00124470;;Journal of Computer-Aided Molecular Design;journals/jcamd/CurtoMK96;2011-05-24;;;5;361-371;;;;;;;CORCEMA evaluation of the potential role of intermolecular transferred NOESY in the characterization of ligand-receptor complexes.;;;db/journals/jcamd/jcamd10.html#CurtoMK96;10;1996
2857554;Ana Gallegos Saliner|David Robert|Ramon Carbó-Dorca|Xavier Gironés;;;;;;;http://dx.doi.org/10.1023/A:1011150003086;;Journal of Computer-Aided Molecular Design;journals/jcamd/GallegosRGC01;2011-05-24;;;1;67-80;;;;;;;Structure-toxicity relationships of polycyclic aromatic hydrocarbons using molecular quantum similarity.;;;db/journals/jcamd/jcamd15.html#GallegosRGC01;15;2001
2857555;Daniela Barlocco|Ettore Novellino|Giorgio Cignarella|Giovanni Greco;;;;;;;http://dx.doi.org/10.1007/BF00124362;;Journal of Computer-Aided Molecular Design;journals/jcamd/BarloccoCGN93;2011-05-24;;;5;557-571;;;;;;;Computer-aided structure-affinity relationships in a set of piperazine and 3, 8-diazabicyclo[3.2.1]octane derivatives binding to the µ-opioid receptor.;;;db/journals/jcamd/jcamd7.html#BarloccoCGN93;7;1993
2857556;Akito Tanaka|Hitoshi Oyasu|Isao Nakanishi|Kenji Murano|Masaaki Matsuo;;;;;;;http://dx.doi.org/10.1007/BF00124407;;Journal of Computer-Aided Molecular Design;journals/jcamd/OyasuNTMM95;2011-05-24;;;2;171-180;;;;;;;Conformational studies on the four stereoisomers of the novel anticholinergic 4-(dimethylamino)-2-phenyl-2-(2-pyridyl)pentanamide.;;;db/journals/jcamd/jcamd9.html#OyasuNTMM95;9;1995
2857557;Miquel Calvo|Xavier de la Cruz;;;;;;;http://dx.doi.org/10.1023/A:1011133332333;;Journal of Computer-Aided Molecular Design;journals/jcamd/CruzC01;2011-05-24;;;6;521-532;;;;;;;Use of surface area computations to describe atom-atom interactions.;;;db/journals/jcamd/jcamd15.html#CruzC01;15;2001
2857558;Ding Li|Hai-Bin Luo|Jia-Heng Tan|Jin-Qiang Hou|Lian-Quan Gu|Shuo-Bin Chen|Zhi-Shu Huang;;;;;;;http://dx.doi.org/10.1007/s10822-012-9619-1;;Journal of Computer-Aided Molecular Design;journals/jcamd/HouCTLLGH12;2013-01-23;;;12;1355-1368;;;;;;;New insights from molecular dynamic simulation studies of the multiple binding modes of a ligand with G-quadruplex DNA.;;;db/journals/jcamd/jcamd26.html#HouCTLLGH12;26;2012
2857559;Arthur Robbins|Ingo Muegge|Romana Andreani|Sookhee Ha;;;;;;;http://dx.doi.org/10.1023/A:1008137707965;;Journal of Computer-Aided Molecular Design;journals/jcamd/HaARM00;2011-05-24;;;5;435-448;;;;;;;Evaluation of docking/scoring approaches: A comparative study based on MMP3 inhibitors.;;;db/journals/jcamd/jcamd14.html#HaARM00;14;2000
2857560;Andrea Zaliani|Emanuela Gancia|Gianpaolo Bravi|Monica Pegna|Paolo Mascagni|Roberto Todeschini;;;;;;;http://dx.doi.org/10.1023/A:1008079512289;;Journal of Computer-Aided Molecular Design;journals/jcamd/BraviGMPTZ97;2011-05-24;;;1;79-92;;;;;;;MS-WHIM, new 3D theoretical descriptors derived from molecular surface properties: A comparative 3D QSAR study in a series of steroids.;;;db/journals/jcamd/jcamd11.html#BraviGMPTZ97;11;1997
2857561;Divi Venkateswarlu|Jerzy Leszczynski;;;;;;;http://dx.doi.org/10.1023/A:1008067110965;;Journal of Computer-Aided Molecular Design;journals/jcamd/VenkateswarluL98;2011-05-24;;;4;373-382;;;;;;;Tautomeric equilibria in 8-oxopurines: Implications for mutagenicity.;;;db/journals/jcamd/jcamd12.html#VenkateswarluL98;12;1998
2857562;Andreas Klamt|Frank Eckert|Martin Hornig;;;;;;;http://dx.doi.org/10.1023/A:1011111506388;;Journal of Computer-Aided Molecular Design;journals/jcamd/KlamtEH01;2011-05-24;;;4;355-365;;;;;;;COSMO-RS: A novel view to physiological solvation and partition questions.;;;db/journals/jcamd/jcamd15.html#KlamtEH01;15;2001
2857563;Andreas Lange|Frank M. Boeckler|Markus O. Zimmermann|Rainer Wilcken|Stefan Zahn;;;;;;;http://dx.doi.org/10.1007/s10822-012-9592-8;;Journal of Computer-Aided Molecular Design;journals/jcamd/WilckenZLZB12;2012-10-30;;;8;935-945;;;;;;;Using halogen bonds to address the protein backbone: a systematic evaluation.;;;db/journals/jcamd/jcamd26.html#WilckenZLZB12;26;2012
2857564;Haichun Liu|Haoliang Yuan|Jinxing Xu|Shihe Hu|Shuai Lu|Sihui Yao|Tao Lu|Ting Ran|Wenting Tai|Xiao Xiong|Yadong Chen|Yanmin Zhang|Zhipeng Ke;;;;;;;http://dx.doi.org/10.1007/s10822-013-9687-x;;Journal of Computer-Aided Molecular Design;journals/jcamd/YuanTHLZYRLKXXCL13;2013-11-22;;;10;897-915;;;;;;;Fragment-based strategy for structural optimization in combination with 3D-QSAR.;;;db/journals/jcamd/jcamd27.html#YuanTHLZYRLKXXCL13;27;2013
2857565;Anthony Nicholls;;;;;;;http://dx.doi.org/10.1007/s10822-011-9520-3;;Journal of Computer-Aided Molecular Design;journals/jcamd/Nicholls12;2012-01-31;;;1;103-105;;;;;;;The character of molecular modeling.;;;db/journals/jcamd/jcamd26.html#Nicholls12;26;2012
2857566;M. Rami Reddy|Mark D. Erion;;;;;;;http://dx.doi.org/10.1007/s10822-009-9300-5;;Journal of Computer-Aided Molecular Design;journals/jcamd/ReddyE09;2010-03-22;;;12;837-843;;;;;;;Relative solvation free energies calculated using an ab initio QM/MM-based free energy perturbation method: dependence of results on simulation length.;;;db/journals/jcamd/jcamd23.html#ReddyE09;23;2009
2857567;Wendy A. Warr;;;;;;;http://dx.doi.org/10.1007/s10822-009-9260-9;;Journal of Computer-Aided Molecular Design;journals/jcamd/Warr09;2009-04-20;;;4;195-198;;;;;;;ChEMBL. An interview with John Overington, team leader, chemogenomics at the European Bioinformatics Institute Outstation of the European Molecular Biology Laboratory (EMBL-EBI).;;;db/journals/jcamd/jcamd23.html#Warr09;23;2009
